Q1,2,2,2,1,3,2,3,2,3,2,3,3,3,3,4,2,2,1,2,3,2,4,4,3,3,4,2,1,2,2,4,2,3,2,3,2,3,4,3,3,2,3,1,3,1,2,2,2,3,2,3,4,2,3,3,1,1,3,2,2,2,2,3,1,2,3,3,3,1,3,1,1,1,2,2,3,3,3,4,3,1,1,2,1,1,3,3,1,1,3,4,3,3,2,3,3,2,3,2,3,2,3,1,3,3,2,2,2,3,3,3,2,3,4,4,3,2,2,2,2
Q2,2,1,1,1,2,1,1,2,1,1,1,3,2,2,4,1,1,1,1,3,3,3,3,3,3,3,1,2,1,2,2,1,3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,3,2,3,1,2,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,1,2,1,3,3,3,1,1,1,1,3,2,1,1,2
Q3,2,2,2,1,3,2,3,1,3,2,2,3,2,3,4,3,2,2,2,4,3,3,3,3,4,3,2,3,2,3,4,3,3,2,3,3,3,2,2,3,3,2,2,3,3,3,2,1,3,3,1,1,1,2,3,1,1,2,2,2,1,1,3,3,3,2,3,3,1,1,1,1,3,2,1,4,3,3,4,2,1,1,1,1,1,1,3,1,2,3,2,2,2,2,3,3,1,2,2,2,2,3,2,3,1,3,3,2,3,3,3,3,3,2,1,3,2,3,2,2
Q4,2,2,2,2,3,3,3,2,1,3,3,4,3,3,4,3,2,2,2,4,2,3,4,4,3,4,3,2,2,3,4,3,4,3,3,4,3,3,4,4,3,3,2,3,4,3,2,2,3,3,3,2,2,4,2,2,2,4,2,3,1,2,3,3,3,3,3,3,2,4,1,2,2,3,2,4,3,3,3,3,1,4,2,1,1,1,4,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,4,2,3,4,3,4,1,3,3,3,4,2,3,1,3,2,3
Q5,2,2,2,2,3,3,3,3,4,3,2,4,3,3,4,3,3,2,2,4,2,4,3,4,3,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,2,2,3,3,3,1,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,4,3,4,4,2,3,4,3,3,3,2,1,2,1,2,2,4,3,2,3,4,4,3,4,3,3,1,3,3,3,2,3,3,3,2,3,4,2,4,3,3,3,3,4,3,3,3,3,2,3
Q6,3,1,1,1,2,4,3,1,3,1,4,4,2,3,2,3,1,2,1,1,3,4,1,1,3,1,1,1,3,1,3,3,1,3,1,3,2,3,3,3,3,3,4,1,1,1,3,2,1,4,3,1,1,4,4,1,3,2,3,1,3,1,3,3,3,4,4,2,2,2,1,1,3,1,2,1,3,3,3,1,1,1,1,1,2,4,4,3,3,2,1,3,3,3,3,4,3,3,2,3,2,1,4,4,2,3,2,1,4,2,3,3,3,2,1,3,2,2,2,2
Q7,1,1,2,2,4,3,3,3,4,2,3,3,3,3,4,3,1,2,1,4,4,4,4,4,4,4,2,2,2,2,4,3,2,2,3,3,3,3,3,2,2,3,4,2,3,1,2,2,2,3,1,2,3,3,2,2,1,2,3,3,4,4,3,3,4,3,3,3,3,3,2,3,2,3,1,4,4,3,3,3,3,3,1,2,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,1,3,4,2,3,3,4,4,3,3,3,3,2,1,1,2
Q9,1,1,1,1,3,1,3,3,4,1,4,1,3,1,1,1,3,1,3,4,4,1,1,4,4,4,3,1,1,1,4,1,1,3,1,1,1,1,4,1,1,1,3,3,1,1,3,3,3,1,1,1,1,1,1,4,1,1,2,3,4,1,4,4,4,4,4,3,4,1,1,3,3,1,2,4,4,4,1,1,1,3,3,3,3,3,3,2,2,2,4,2,2,2,1,1,1,1,3,3,1,1,3,1,3,3,1,2,1,4,4,4,1,1,1,1,3,2,2,1
Q10,4,3,3,4,4,4,4,4,4,2,4,4,4,4,4,5,3,3,3,5,5,5,5,5,5,5,4,4,3,4,5,4,4,3,3,5,3,4,4,4,3,4,4,3,5,3,3,2,3,3,4,2,4,5,5,5,3,4,3,3,5,5,5,5,5,4,4,4,4,4,5,3,3,2,5,5,5,5,3,3,3,3,3,2,2,2,4,3,4,3,4,3,0,3,4,4,4,3,4,3,2,3,3,4,2,3,4,3,4,3,5,5,4,5,4,4,3,2,2,3
Q11,2,2,2,2,1,1,2,3,4,2,4,1,1,3,4,4,2,2,3,4,4,4,4,4,1,4,2,1,2,2,4,4,1,2,1,4,1,4,1,1,2,2,2,2,4,2,3,1,2,3,1,2,2,1,1,4,3,2,2,2,4,4,4,4,4,4,4,2,1,1,1,2,2,2,1,4,4,4,2,2,2,1,2,2,2,2,1,2,2,2,4,3,2,3,3,3,2,2,3,2,2,1,2,1,2,2,4,2,4,4,4,4,1,4,1,1,3,2,2,1
Q12,1,1,1,1,1,1,1,2,2,2,1,3,3,3,1,1,2,1,2,4,3,4,1,4,1,2,1,2,1,1,4,2,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,3,2,1,2,2,1,1,4,2,1,2,1,1,1,1,2,2,2,1,4,2,1,2,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,3,1,1,1,2,2,2,1,1,1,2
Q13*,2,2,2,3,3,5,4,3,4,4,5,3,3,4,4,4,4,3,3,5,1,5,5,5,5,5,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,4,5,4,5,3,4,3,4,4,4,4,4,5,4,3,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,5,5,4,4,4,3,5,5,4,4,5,4,5,4,3,3,1,4,3,4,3,3,4,5,1,3,4,4,5,4,4,5,4,5,5,4,3,3,3,1
Q14,2,2,3,3,4,4,4,4,4,4,4,3,3,4,2,4,3,4,3,4,5,4,4,5,4,4,4,4,3,4,5,3,4,3,2,4,3,4,3,4,3,4,5,3,4,1,2,3,3,2,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,2,4,3,4,4,5,3,4,4,4,3,3,3,2,3,4,3,4,2,3,3,4,3,3,4,4,3,3,4,3,4,4,4,4,5,4,4,4,2,4,5,4,4,4,2,4,3,2,5
Q15,3,3,3,3,4,5,4,5,5,5,5,5,4,5,4,4,4,4,4,4,5,1,5,5,5,5,5,4,4,4,5,4,4,4,3,4,4,5,4,5,4,5,5,4,5,5,3,1,4,2,4,4,4,5,5,4,4,4,3,4,5,5,4,4,4,5,4,4,4,5,4,3,4,4,5,5,5,4,5,4,4,4,2,3,3,3,5,4,4,4,5,4,4,3,3,3,4,4,4,4,4,4,4,5,1,5,5,4,5,3,4,5,4,5,4,4,5,3,2,5
Q16*,3,3,2,3,4,5,4,4,5,4,5,4,5,4,2,4,3,4,4,5,5,5,4,5,4,5,4,4,4,4,5,4,4,4,3,4,3,5,5,4,4,5,5,4,5,4,4,3,4,3,4,4,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,3,4,5,1,2,4,5,4,5,5,4,4,4,5,5,3,3,3,3,5,4,4,4,5,4,4,3,3,3,4,4,2,4,3,4,4,5,4,4,4,4,5,5,4,5,4,5,4,4,4,2,2,1
Q17*,2,3,2,3,3,5,5,5,5,5,5,4,3,2,5,5,5,5,1,5,3,5,5,4,5,5,5,3,4,5,5,3,4,5,4,5,2,4,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,2,3,2,5,3,5,5,5,2,2,5,4,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,2,2,5
Q19*,4,4,2,2,4,4,5,5,5,4,5,5,5,4,3,4,4,4,4,5,5,5,5,5,5,5,4,5,2,4,5,4,4,4,4,5,5,5,5,5,4,5,2,2,4,5,5,1,4,4,5,5,5,5,5,5,3,3,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,1,4,5,4,4,2,4,4,5,5,5,4,5,4,4,4,2,1,2,4,2,3,5,4,5,5,4,4,5,4,4,4,5,4,1,5,1,5,1,4,3,1
Q20*,1,2,2,1,4,4,4,2,5,4,4,5,5,5,5,5,3,3,2,5,4,5,5,5,5,5,3,3,2,3,5,4,4,4,5,5,4,4,5,5,2,4,5,3,5,3,3,2,3,5,5,3,5,5,5,5,1,4,4,3,5,4,5,4,5,5,5,4,4,4,4,4,3,4,4,5,5,5,3,5,3,4,2,2,1,2,5,3,2,4,5,3,4,4,2,2,3,3,3,3,3,3,3,5,2,4,4,2,5,5,4,1,4,5,4,5,1,2,2,1
Q21,2,2,2,1,2,4,4,3,4,3,4,3,4,4,3,3,2,2,2,4,2,4,4,4,4,4,2,3,1,3,4,3,3,2,4,3,3,3,3,4,2,3,3,3,3,3,3,1,3,3,3,3,3,4,3,4,2,3,3,2,4,3,4,3,4,3,4,3,3,3,3,2,3,3,2,4,4,3,4,3,3,3,3,2,1,1,4,3,2,3,4,3,3,2,2,1,2,2,2,3,2,3,2,3,2,2,4,2,4,4,4,4,3,4,3,4,2,1,1,1
Q22*,2,3,2,1,4,4,5,4,5,4,5,5,5,5,5,4,3,3,3,1,1,5,5,5,5,5,3,4,2,3,5,5,5,4,4,5,1,5,5,5,3,4,4,3,5,4,4,3,3,4,4,1,5,4,5,5,3,4,3,3,5,4,5,4,5,5,5,4,3,4,5,3,4,4,4,5,5,5,3,4,4,5,3,2,2,2,5,4,3,4,5,4,4,4,3,3,3,3,4,4,3,4,4,5,2,4,5,3,5,4,5,5,5,5,1,5,4,1,2,1
